retailer,retailer_key,store_id,address,full_address,zip_code,latitude,longitude,geocode_confidence,geocode_source,geocoded_at
Shaw's,shaws,4471,,01501,01501,,,zip_centroid,api,2026-03-11T22:41:09.428436+00:00
Shaw's,shaws,2571,,01776,01776,,,zip_centroid,api,2026-03-11T22:41:11.370553+00:00
Shaw's,shaws,495,,01803,01803,,,zip_centroid,api,2026-03-11T22:41:12.168468+00:00
Shaw's,shaws,2493,,01970,01970,,,zip_centroid,api,2026-03-11T22:41:12.879180+00:00
Shaw's,shaws,1429,,02301,02301,,,zip_centroid,api,2026-03-11T22:41:16.322804+00:00
Shaw's,shaws,1598,,02601,02601,,,zip_centroid,api,2026-03-11T22:41:18.267975+00:00
Shaw's,shaws,4486,,03106,03106,,,zip_centroid,api,2026-03-11T22:41:21.780211+00:00
Shaw's,shaws,811,,03301,03301,,,zip_centroid,api,2026-03-11T22:41:23.100085+00:00
Shaw's,shaws,4512,,03862,03862,,,zip_centroid,api,2026-03-11T22:41:26.102132+00:00
Shaw's,shaws,3544,,04106,04106,,,zip_centroid,api,2026-03-11T22:41:28.384485+00:00
Shaw's,shaws,2550,,04210,04210,,,zip_centroid,api,2026-03-11T22:41:29.061787+00:00
Shaw's,shaws,4556,,04401,04401,,,zip_centroid,api,2026-03-11T22:41:29.989513+00:00
Shaw's,shaws,3551,,04901,04901,,,zip_centroid,api,2026-03-11T22:41:32.975840+00:00
Safeway,safeway,1763,,19901,19901,,,zip_centroid,api,2026-03-11T22:41:46.453597+00:00
Safeway,safeway,2737,,20001,20001,,,zip_centroid,api,2026-03-11T22:41:47.162777+00:00
Safeway,safeway,4270,,20002,20002,,,zip_centroid,api,2026-03-11T22:41:47.880301+00:00
Safeway,safeway,2661,,20603,20603,,,zip_centroid,api,2026-03-11T22:41:48.630326+00:00
Safeway,safeway,1926,,21076,21076,,,zip_centroid,api,2026-03-11T22:41:49.361913+00:00
Safeway,safeway,1804,,20716,20716,,,zip_centroid,api,2026-03-11T22:41:50.064518+00:00
Safeway,safeway,3274,,20782,20782,,,zip_centroid,api,2026-03-11T22:41:50.841800+00:00
Safeway,safeway,2753,,20895,20895,,,zip_centroid,api,2026-03-11T22:41:51.660634+00:00
Safeway,safeway,1369,,20910,20910,,,zip_centroid,api,2026-03-11T22:41:52.366643+00:00
Safeway,safeway,1652,,21015,21015,,,zip_centroid,api,2026-03-11T22:41:53.060650+00:00
Safeway,safeway,1459,,21043,21043,,,zip_centroid,api,2026-03-11T22:41:53.774793+00:00
Safeway,safeway,1657,,21117,21117,,,zip_centroid,api,2026-03-11T22:41:54.505443+00:00
Safeway,safeway,1482,,21218,21218,,,zip_centroid,api,2026-03-11T22:41:55.226265+00:00
Safeway,safeway,2629,,21401,21401,,,zip_centroid,api,2026-03-11T22:41:56.106651+00:00
Safeway,safeway,128,,21793,21793,,,zip_centroid,api,2026-03-11T22:41:58.396637+00:00
Jewel-Osco,jewel_osco,1189,,46304,46304,,,zip_centroid,api,2026-03-11T22:49:13.231599+00:00
Albertsons,albertsons,37,,59405,59405,,,zip_centroid,api,2026-03-11T22:51:04.071101+00:00
Safeway,safeway,1486,,59601,59601,,,zip_centroid,api,2026-03-11T22:51:05.510651+00:00
Safeway,safeway,259,,59701,59701,,,zip_centroid,api,2026-03-11T22:51:06.290051+00:00
Albertsons,albertsons,20,,59801,59801,,,zip_centroid,api,2026-03-11T22:51:06.919181+00:00
Albertsons,albertsons,18,,59901,59901,,,zip_centroid,api,2026-03-11T22:51:08.119703+00:00
Jewel-Osco,jewel_osco,3294,,60101,60101,,,zip_centroid,api,2026-03-11T22:51:09.996983+00:00
Jewel-Osco,jewel_osco,3465,,60077,60077,,,zip_centroid,api,2026-03-11T22:51:11.129239+00:00
Jewel-Osco,jewel_osco,3223,,60305,60305,,,zip_centroid,api,2026-03-11T22:51:11.764782+00:00
Jewel-Osco,jewel_osco,3721,,60638,60638,,,zip_centroid,api,2026-03-11T22:51:13.150897+00:00
Jewel-Osco,jewel_osco,4500,,60607,60607,,,zip_centroid,api,2026-03-11T22:51:13.838485+00:00
Jewel-Osco,jewel_osco,1241,,60622,60622,,,zip_centroid,api,2026-03-11T22:51:14.499701+00:00
Jewel-Osco,jewel_osco,1156,,60901,60901,,,zip_centroid,api,2026-03-11T22:51:16.581475+00:00
Jewel-Osco,jewel_osco,2488,,60914,60914,,,zip_centroid,api,2026-03-11T22:51:17.253944+00:00
Jewel-Osco,jewel_osco,122,,61265,61265,,,zip_centroid,api,2026-03-11T22:51:20.292699+00:00
Jewel-Osco,jewel_osco,116,,61701,61701,,,zip_centroid,api,2026-03-11T22:51:32.737851+00:00
Jewel-Osco,jewel_osco,3073,,61761,61761,,,zip_centroid,api,2026-03-11T22:51:33.444653+00:00
Albertsons,albertsons,717,,70605,70605,,,zip_centroid,api,2026-03-11T22:51:45.112064+00:00
Albertsons,albertsons,2798,,70605,70605,,,zip_centroid,api,2026-03-11T22:51:45.828877+00:00
Albertsons,albertsons,218,,71105,71105,,,zip_centroid,api,2026-03-11T22:51:49.018613+00:00
Albertsons,albertsons,3215,,71301,71301,,,zip_centroid,api,2026-03-11T22:51:50.466277+00:00
Tom Thumb,tom_thumb,2643,,75001,75001,,,zip_centroid,api,2026-03-11T22:52:02.308084+00:00
Tom Thumb,tom_thumb,3296,,75201,75201,,,zip_centroid,api,2026-03-11T22:52:02.989457+00:00
