retailer,retailer_key,store_id,_name,address,full_address,zip_code,latitude,longitude,_phone,geocode_confidence,geocode_source,geocoded_at
Smart & Final,smart_and_final,499,499 - Phoenix - N. 43rd Ave,1450 N 43RD AVENUE,"1450 N 43RD AVENUE, PHOENIX, AZ 85009",85009,33.464216,-112.152005,(602) 353-0591,high,api,2026-03-11T22:12:52.204207+00:00
Smart & Final,smart_and_final,721,721 - Phoenix - Tatum,13823 N TATUM BLVD,"13823 N TATUM BLVD, PHOENIX, AZ 85032",85032,33.610316,-111.977743,(602) 569-9484,high,api,2026-03-11T22:12:11.483330+00:00
Smart & Final,smart_and_final,720,720 - Phoenix - Greenway,3434 W GREENWAY ROAD,"3434 W GREENWAY ROAD, PHOENIX, AZ 85053",85053,33.626407,-112.13253,(602) 843-3363,high,api,2026-03-11T22:13:05.332455+00:00
Smart & Final,smart_and_final,730,730 - Gilbert,750 N GILBERT ROAD,"750 N GILBERT ROAD, GILBERT, AZ 85234",85234,33.362623,-111.789822,(480) 926-2669,high,api,2026-03-11T22:12:27.113884+00:00
Smart & Final,smart_and_final,826,826 - Bullhead City,"2250 HIGHWAY 95, SUITE 496","2250 HIGHWAY 95, SUITE 496, BULLHEAD CITY, AZ 86442",86442,35.1052662,-114.5961277,(928) 758-1505,high,api,2026-03-11T22:14:30.183054+00:00
Smart & Final,smart_and_final,379,379 - Henderson,10050 EASTERN AVENUE,"10050 EASTERN AVENUE, HENDERSON, NV 89052",89052,36.006346,-115.112954,(702) 896-0269,high,api,2026-03-11T22:16:00.436303+00:00
Smart & Final,smart_and_final,744,744 - Las Vegas - E. Flamingo Rd.,3750 E FLAMINGO ROAD,"3750 E FLAMINGO ROAD, LAS VEGAS, NV 89121",89121,36.1153732,-115.094224,(702) 435-1167,high,api,2026-03-11T22:16:02.939724+00:00
Smart & Final,smart_and_final,352,352 - Las Vegas - Bonanza Rd,2305 BONANZA ROAD,"2305 BONANZA ROAD, LAS VEGAS, NV 89101",89101,36.17412,-115.118677,(702) 366-9500,high,api,2026-03-11T22:16:02.938371+00:00
Smart & Final,smart_and_final,350,350 - Las Vegas - W. Charleston Blvd,4439 W. CHARLESTON BLVD,"4439 W. CHARLESTON BLVD, LAS VEGAS, NV 89102",89102,36.15893,-115.200391,(702) 878-4104,high,api,2026-03-11T22:16:02.938397+00:00
Smart & Final,smart_and_final,442,442 - Las Vegas - W. Craig Rd,365 W. CRAIG ROAD,"365 W. CRAIG ROAD, NORTH LAS VEGAS, NV 89032",89032,36.239251,-115.148712,(702) 633-6064,high,api,2026-03-11T22:16:02.939715+00:00
Smart & Final,smart_and_final,728,728 - Las Vegas - N. Decatur Blvd,1941 N DECATUR BLVD,"1941 N DECATUR BLVD, LAS VEGAS, NV 89108",89108,36.1944402,-115.2064991,(702) 646-0110,high,api,2026-03-11T22:16:02.939699+00:00
Smart & Final,smart_and_final,489,489 - Las Vegas - W. Sahara Ave,8485 WEST SAHARA AVENUE,"8485 WEST SAHARA AVENUE, LAS VEGAS, NV 89117",89117,36.143815,-115.276426,(702) 255-2338,high,api,2026-03-11T22:16:02.939732+00:00
Smart & Final,smart_and_final,585,585 - Reno,365 E PLUMB LANE,"365 E PLUMB LANE, RENO, NV 89502",89502,39.505898,-119.799006,(775) 322-7905,high,api,2026-03-11T22:16:22.815158+00:00
Smart & Final,smart_and_final,823,823 - Los Angeles - Century,9850 SOUTH LAUREL BLVD,"9850 SOUTH LAUREL BLVD, LOS ANGELES, CA 90002",90002,33.95674,-118.22097,(323) 556-3367,high,api,2026-03-11T22:16:50.360853+00:00
Smart & Final,smart_and_final,790,790 - Huntington Park,3111 E. FLORENCE AVENUE,"3111 E. FLORENCE AVENUE, HUNTINGTON PARK, CA 90255",90255,33.9733232,-118.2118873,(323) 923-3456,high,api,2026-03-11T22:17:53.117764+00:00
Smart & Final,smart_and_final,333,333 - Lynwood - Long Beach Blvd,10833 LONG BEACH BLVD,"10833 LONG BEACH BLVD, LYNWOOD, CA 90262",90262,33.933805,-118.212371,(310) 631-8639,high,api,2026-03-11T22:16:55.240264+00:00
Smart & Final,smart_and_final,341,341 - Los Angeles- W. El Segundo Blv,1125 E. EL SEGUNDO BLVD,"1125 E. EL SEGUNDO BLVD, LOS ANGELES, CA 90059",90059,33.916522,-118.255429,(323) 569-7148,high,api,2026-03-11T22:16:52.822394+00:00
Smart & Final,smart_and_final,319,319 - Bell - Florence Ave,5029 E. FLORENCE AVENUE,"5029 E. FLORENCE AVENUE, BELL, CA 90201",90201,33.969246,-118.177122,(323) 562-3421,high,api,2026-03-11T22:17:53.117718+00:00
